KEY	UK	EN	DE	FR
Action/&MartialArtsDescription	"Коли ви використовуєте дію ""Атака"" з ударом без зброї або зброєю монаха під час вашого ходу, ви можете зробити один удар без зброї як бонусну дію. Наприклад, якщо ви виконуєте дію ""Атака"" і атакуєте квіртерстафом, ви також можете зробити удар без зброї як бонусну дію, припускаючи, що ви ще не використовували бонусну дію цього ходу."	When you use the Attack action with an unarmed strike or a monk weapon on your turn, you can make one unarmed strike as a bonus action. For example, if you take the Attack action and attack with a quarterstaff, you can also make an unarmed strike as a bonus action, assuming you haven't already taken a bonus action this turn.	Setzt du die Angriffsaktion in deinem Zug mit einem unbewaffneten Schlag oder einer Mönchswaffe ein, kannst du einen unbewaffneten Schlag als Bonusaktion ausführen. Führst du zum Beispiel einen Angriff mit einem Kampfstab als Angriffsaktion aus, kannst du als Bonusaktion einen unbewaffneten Schlag einsetzen, insofern du in diesem Zug noch eine Bonusaktion verwendet hast.	When you use the Attack action with an unarmed strike or a monk weapon on your turn, you can make one unarmed strike as a bonus action. For example, if you take the Attack action and attack with a quarterstaff, you can also make an unarmed strike as a bonus action, assuming you haven't already taken a bonus action this turn.
Action/&MartialArtsTitle	Бойові мистецтва - бонусний удар без зброї	Martial Arts - Bonus Unarmed Strike	Kampfkünste – Bonus: Unbewaffneter Schlag	Martial Arts - Bonus Unarmed Strike
Action/&MoveDescription	Рухатися на відстань до своєї швидкості в зазначений напрямок. Ви можете розділити свій рух між іншими діями.	Move up to your speed toward the specified destination. You can break your movement up between other actions.	Bis zu deiner Bewegungsreichweite in die angegebene Richtung bewegen. Du kannst deine Bewegungsreichweite zwischen verschiedenen Aktionen aufteilen.	Move up to your speed toward the specified destination. You can break your movement up between other actions.
Action/&MoveTitle	Рух	Move	Bewegen	Move
Action/&NeutralCreatureTitle	Нейтральна істота	Neutral Creature	Neutrale Kreatur	Neutral Creature
Action/&NeutralTargetHeaderTitle	{0} (нейтральний)	{0} (Neutral)	{0}(Neutral)	{0} (Neutral)
Action/&OpenHandTechniqueDescription	Виберіть, який ефект накласти на ціль вашим наступним ударом у вигляді хвилі ударів.	Choose which effect to impose on your target with your next Flurry of Blows attack.	Wähle den Effekt, mit dem dein Ziel bei deinem nächsten Schlaghagel-Angriff belegt werden soll.	Choose which effect to impose on your target with your next Flurry of Blows attack.
Action/&OpenHandTechniqueTitle	Техніка відкритої долоні	Open Hand Technique	Technik der offenen Hand	Open Hand Technique
Action/&PersistentRageStartDescription	Ви маєте перевагу при кидках рятунку та перевірках сили, бонус до шкоди від ближніх атак і стійкість до рубаного, тупого та колючого пошкодження. Ваша лють настільки жорстока, що закінчується лише якщо ви втратите свідомість, вирішите її завершити або пройде 1 хвилина. Ви отримуєте ці переваги тільки якщо не носите важку броню.	You have advantage on strength saves and checks, a bonus to melee attack damage, and resistance to slashing, bludgeoning, and piercing damage. Your rage is so fierce that it ends only if you fall unconscious, choose to end it or 1 minute has passed. You gain these benefits only if you are not currently wearing heavy armor.	Du erhältst einen Vorteil bei Stärkeproben und Stärkerettungswürfen, einen Bonus auf deinen Nahkampfschaden und Resistenz gegen Hieb-, Wucht- und Stichschaden. Dein Kampfrausch ist so stark, dass er erst endet, wenn du bewusstlos wirst, ihn bewusst beendest oder 1 Minute vergangen ist. Du erhältst diese Vorteile nur, wenn du keine schwere Rüstung trägst.	You have advantage on strength saves and checks, a bonus to melee attack damage, and resistance to slashing, bludgeoning, and piercing damage. Your rage is so fierce that it ends only if you fall unconscious, choose to end it or 1 minute has passed. You gain these benefits only if you are not currently wearing heavy armor.
Action/&PersistentRageStartTitle	Тривала лють	Persistent Rage	Anhaltender Kampfrausch	Persistent Rage
Action/&PickUpDescription	Підняти предмет на позиції персонажа.	Pick up an item at the character's position.	Einen Gegenstand am Standort des Charakters aufheben.	Pick up an item at the character's position.
Action/&PickUpTitle	Підняти	Pick Up	Aufheben	Pick Up
Action/&PowerDescription	Активувати силу чи спеціальну здібність.	Activate a power or special ability.	Eine Kraft oder Spezialfähigkeit aktivieren.	Activate a power or special ability.
Action/&PowerTitle	Використати силу	Use Power	Kraft einsetzen	Use Power
Action/&RageStartDescription	Надає вам перевагу на кидках рятунку та перевірках сили, бонус до шкоди від ближніх атак і стійкість до рубаного, тупого та колючого ушкодження протягом 1 хвилини. Ви отримуєте ці переваги лише якщо не одягнені в важку броню. Ви повинні атакувати або зазнавати шкоди кожного раунду, інакше лють завершиться раніше.	Grants you advantage on strength saves and checks, a bonus to melee attacks damage, and resistance to slashing, bludgeoning, and piercing damage for 1 minute. You gain these benefits only if you are not wearing heavy armor. You must attack or suffer damage each round or the rage ends early.	Gewährt dir für 1 Minute einen Vorteil auf deine Stärkeproben und Stärkerettungswürfe, einen Bonus auf deinen Nahkampfschaden und Resistenz gegen Hieb-, Wucht- und Stichschaden. Du erhältst diese Vorteile nur dann, wenn du keine schwere Rüstung trägst. Wenn du nicht in jeder Runde angreifst oder Schaden erleidest, endet der Kampfrausch vorzeitig.	Grants you advantage on strength saves and checks, a bonus to melee attacks damage, and resistance to slashing, bludgeoning, and piercing damage for 1 minute. You gain these benefits only if you are not wearing heavy armor. You must attack or suffer damage each round or the rage ends early.
Action/&RageStartTitle	Лють	Rage	Kampfrausch	Rage
Action/&RageStopDescription	Найближчим часом припиняє вашу лють, але все одно використовує очко люті	Immediately stops your rage, but still uses a rage point	Beendet sofort deinen Kampfrausch, verbraucht aber einen Wutpunkt.	Immediately stops your rage, but still uses a rage point
Action/&RageStopTitle	Завершити лють	Stop Rage	Kampfrausch beenden	Stop Rage
Action/&ReadyDescription	Відкласти атаку до пізнішого моменту в ході ходу.	Delay an attack until later in the turn.	Einen Angriff bis zu einem späteren Zeitpunkt in diesem Zug hinauszögern.	Delay an attack until later in the turn.
Action/&ReadyTitle	Підготувати дію	Ready	Vorbereiten	Ready
Action/&ReapplyEffectDescription	Повторити дію {0}	Reapply the {0} effect	Löse {0} erneut aus.	Reapply the {0} effect
Action/&ReapplyEffectTitle	Повторити дію ефекту	Reapply Effect	Effekt erneut auslösen	Reapply Effect
Action/&RecallItemDescription	Відкликати предмет, створений ефектом {0}.	Recall the item created by the {0} effect.	Rufe den Gegenstand zurück, der durch {0} erschaffen wurde.	Recall the item created by the {0} effect.
Action/&RecallItemTitle	Повернути предмет	Recall Item	Gegenstand zurückrufen	Recall Item
Action/&RecklessAttackDescription	Перед тим, як ви зробите свій перший удар за хід, ви можете вирішити атакувати без розваги. Це дає вам перевагу при кидках атак ближнього бою з використанням Сили протягом цього ходу, але кидки атак проти вас мають перевагу до вашого наступного ходу.	Before you make your first attack on your turn, you can decide to attack recklessly. Doing so gives you advantage on melee weapon attack rolls using Strength during this turn, but attack rolls against you have advantage until your next turn.	Vor dem ersten Angriff in deinem Zug kannst du beschließen, rücksichtslos anzugreifen. Das gewährt dir für diesen Zug einen Vorteil auf stärkebasierte Angriffswürfe für Nahkampfwaffen. Angriffswürfe gegen dich haben jedoch einen Vorteil bis zu deinem nächsten Zug.	Before you make your first attack on your turn, you can decide to attack recklessly. Doing so gives you advantage on melee weapon attack rolls using Strength during this turn, but attack rolls against you have advantage until your next turn.
