MainMenu/&StartingLevelRange	{0}-{1}
Internal/&ChineseCaracters	Не використовується
Factions/&Faction_Orc_COTM_Suncloud	Плем'я Сонячного Хмароходу
Screen/&DeathTimerLargeExpirationNumberDescription	10+
Screen/&JournalBestiarySizeAndTypeFormat	{0} {1}
Screen/&JournalTimecodeHourMinute24Format	{0}:{1}
Screen/&RequiresCharacterLevelTitle	({0})
Screen/&RequiresClassLevelTitle	({0})
Screen/&SwitchConfigurationDualItemFormat	{0} + {1}
Screen/&AbilityScoreBonusDescription	Бонус до цього характеристики здатності, залежно від ваших поточних виборів.
Screen/&AbilityScoreBonusEditableDescription	Бонус до цього значення характеристики, який можна налаштувати за допомогою залишкових очок.
Screen/&AbilityScoresAssignTitle	Перетягніть свої кидки на клітинки характеристик або автоматично призначте.
Screen/&AbilityScoresEditPointsTitle	Редагуйте свої кидки, використовуючи залишкові очки.
Screen/&AbilityScoresMethodTitle	Виберіть метод генерації характеристик
Screen/&AbortCreationDescription	Скасовує процес створення персонажа.
Screen/&AbortLevelUpDescription	Скасовує процес підвищення рівня персонажа.
Screen/&AbortTitle	Скасувати
Screen/&ActiveQuestsFormatPlural	Ваша команда має {0} активні квести.
Screen/&ActiveQuestsFormatSingle	Ваша команда має одне активне завдання.
Screen/&AddCharacterDescription	Додає персонажа з вашого пулу локальних персонажів.
Screen/&AddCharacterTitle	Додати персонажа
Screen/&AddNewClassTitle	Додати новий клас
Screen/&AnswerChoiceTitle	Виберіть відповідь
Screen/&AscendDescription	Підняти горизонтальну площину на одну клітинку.
Screen/&AttackDamageDescription	Збитки, які завдає цей удар при успішному влученні.
Screen/&AttackDamageTitle	шк
Screen/&AttackRollFooterTitle	Атака
Screen/&AttackToHitDescription	Бонус, який додається до кидків d20 за цим атакою.
Screen/&AttackToHitTitle	для удару
Screen/&AttunableItemsTitle	Предмети, які можна налаштувати.
Screen/&AttunableItemsWarningFormat	{0} досяг(ла) ліміт у {1} предметів для настройки.
Screen/&AttunementExecutedWarningDescription	Відмінити настройку цього предмета, щоб настроїтися на інший предмет.
Screen/&AttunementExecutedWarningTitle	{0} досяг(ла) ліміту настройки для цього відпочинку.
Screen/&AttunementRemoveTitle	Видалити
Screen/&AvailableSlotsDescription	Кількість заклять цього рівня, які ви можете накласти. Ви можете використати одну з цих комірок, щоб накласти закляття нижчого рівня, що може збільшити його ефект.
Screen/&AvailableSlotsTitle	Доступні комірки:
Screen/&BackgroundFeaturesTitle	Особливості фону
Screen/&BackgroundHeaderTitle	Фон
Screen/&BackTitle	Назад
Screen/&BattleIntroTitle	Починається битва!
Screen/&BattleVictoryTitle	Перемога!
